closing_price,sentiment_score,sentiment_change,price_change,unix_time
598.12,0.96906,0,2.14,1622448000
599.61,1.44858,0.46953,0.36,1622449800
568.83,0.03,-1.41858,-4.55,1622451600
562.84,1.44858,1.41858,-0.89,1622453400
580.13,0.49953,-0.93906,2.78,1622455200
585.2,2.38764,1.88811,0.59,1622457000
588.2,0.96906,-1.41858,0.59,1622458800
588.41,0.49953,-0.46953,-0.17,1622460600
579.05,0.96906,0.46953,-1.35,1622462400
579.1,0.49953,-0.46953,0.19,1622464200
576.57,0.96906,0.46953,-0.51,1622466000
578.36,0.49953,-0.46953,0.42,1622467800
583.64,0.96906,0.46953,0.56,1622469600
579.43,0.49953,-0.46953,-0.61,1622471400
573.12,0.03,-0.46953,-0.73,1622473200
