closing_price,sentiment_score,sentiment_change,price_change,unix_time
413.68,-1.85811,0,0,1622106000
411.71,0.03,1.88811,-0.18,1622107800
412.31,-0.43953,-0.46953,-0.02,1622109600
412.09,1.91811,2.35764,0.13,1622111400
413.29,1.44858,-0.46953,-0.03,1622113200
412.33,0.49953,-0.93906,0.03,1622115000
413.69,0.03,-0.46953,0.23,1622116800
413.61,0.03,0,0.1,1622118600
414.83,3.79623,3.76623,0.03,1622120400
413.58,1.44858,-2.35764,-0.06,1622122200
413.7,0.03,-1.41858,-0.1,1622124000
412.12,0.49953,0.46953,-0.2,1622125800
412.7,-1.38858,-1.88811,-0.18,1622127600
411.76,1.91811,3.2967,0.06,1622129400
412.25,0.03,-1.88811,-0.03,1622131200
411.52,0.03,0,-0.01,1622133000
412.53,0.03,0,-0.01,1622170800
410.23,1.44858,1.41858,-0.33,1622172600
410.24,0.49953,-0.93906,-0.09,1622174400
408.6,0.49953,0,-0.28,1622176200
409.55,-1.85811,-2.35764,-0.06,1622178000
409.2,1.91811,3.76623,0.22,1622179800
410.31,0.03,-1.88811,0.11,1622181600
409.86,-0.43953,-0.46953,0.07,1622183400
410.85,-1.38858,-0.93906,-0.08,1622185200
409.52,2.85717,4.24575,-0.05,1622187000
409.86,-0.90906,-3.76623,-0.01,1622188800
408.6,1.91811,2.82717,-0.18,1622190600
407.23,4.74528,2.82717,-0.63,1622192400
408.11,0.03,-4.71528,0.48,1622194200
410.11,3.3267,3.2967,0.37,1622196000
408.75,-0.90906,-4.24575,-0.15,1622197800
409.01,0.49953,1.41858,-0.27,1622199600
408.58,1.44858,0.93906,0.19,1622201400
407.51,3.79623,2.35764,-0.44,1622203200
409.24,2.38764,-1.41858,0.61,1622205000
410.52,-1.85811,-4.24575,0.04,1622206800
410.19,0.96906,2.82717,0.16,1622208600
411.59,0.49953,-0.46953,0.25,1622210400
412.99,4.27575,3.76623,0.49,1622212200
413.22,-0.43953,-4.71528,-0.24,1622214000
411.49,-1.38858,-0.93906,-0.12,1622215800
412.15,0.96906,2.35764,-0.01,1622217600
411.42,0.49953,-0.46953,0.02,1622219400
412.96,0.03,-0.46953,0.05,1622221200
410.83,0.49953,0.46953,-0.26,1622223000
412.09,-1.38858,-1.88811,0.21,1622224800
411.03,0.96906,2.35764,-0.13,1622226600
412.93,0.03,-0.93906,0.2,1622257200
412.47,0.03,0,0.13,1622259000
412.98,0.03,0,0,1622260800
412.34,0.49953,0.46953,0.03,1622262600
413.42,0.49953,0,-0.05,1622264400
412.38,0.03,-0.46953,0.04,1622266200
412.56,-0.90906,-0.93906,-0.11,1622268000
412.95,0.03,0.93906,0.26,1622269800
414.54,-2.32764,-2.35764,0.12,1622271600
412.64,2.85717,5.18481,-0.23,1622273400
411.23,-0.90906,-3.76623,-0.46,1622275200
410.7,1.44858,2.35764,-0.01,1622277000
412.3,-0.90906,-2.35764,0.09,1622278800
411.38,-0.43953,0.46953,0.07,1622280600
413.31,-0.43953,0,0.32,1622282400
413.62,1.44858,1.88811,0.26,1622284200
415.57,-1.38858,-2.82717,0.15,1622286000
415.17,1.91811,3.2967,0.17,1622287800
415.33,0.96906,-0.93906,-0.05,1622289600
415.74,2.38764,1.41858,0.23,1622291400
417.4,-1.38858,-3.76623,0.13,1622293200
415.98,2.85717,4.24575,-0.1,1622295000
416.19,4.74528,1.88811,-0.07,1622296800
416.05,1.91811,-2.82717,0.15,1622298600
417.22,-1.38858,-3.2967,-0.03,1622300400
416.55,1.44858,2.82717,0.13,1622302200
416.84,0.03,-1.41858,-0.08,1622304000
416.08,-0.43953,-0.46953,-0.02,1622305800
417.29,1.44858,1.88811,0.03,1622307600
416.55,3.3267,1.88811,0.05,1622309400
417.72,1.44858,-1.88811,0.18,1622311200
417.01,-0.43953,-1.88811,-0.04,1622313000
417.19,0.03,0.46953,-0.25,1622343600
415.97,0.03,0,0.01,1622345400
416.46,0.49953,0.46953,-0.03,1622347200
415.87,0.49953,0,0.03,1622349000
417.48,0.96906,0.46953,0.06,1622350800
415.31,0.03,-0.93906,-0.26,1622352600
415.8,0.96906,0.93906,0.03,1622354400
415.41,1.44858,0.46953,0.02,1622356200
416,0.03,-1.41858,-0.12,1622358000
414.68,0.03,0,-0.08,1622359800
415.46,0.03,0,0.05,1622361600
414.73,-1.38858,-1.41858,0.02,1622363400
416.26,-0.43953,0.93906,0.04,1622365200
413.64,-3.73623,-3.2967,-0.35,1622367000
413.82,5.68434,9.42057,-0.11,1622368800
412.58,0.96906,-4.71528,-0.14,1622370600
411.43,1.91811,0.93906,-0.57,1622372400
409.42,-3.73623,-5.65434,-0.26,1622374200
408.15,2.38764,6.12387,-0.43,1622376000
408.59,0.49953,-1.88811,0.24,1622377800
409.42,2.85717,2.35764,-0.09,1622379600
410.39,0.03,-2.82717,0.56,1622381400
409.44,0.49953,0.46953,-0.4,1622383200
406.64,-2.79717,-3.2967,-0.52,1622385000
408.26,0.49953,3.2967,0.07,1622386800
406.83,-1.85811,-2.35764,-0.08,1622388600
406.76,3.79623,5.65434,-0.12,1622390400
406.12,3.79623,0,-0.03,1622392200
407.13,0.96906,-2.82717,-0.01,1622394000
406.88,0.49953,-0.46953,0.18,1622395800
407.07,0.03,-0.46953,-0.08,1622397600
404.69,0.96906,0.93906,-0.42,1622399400
409.34,-0.90906,-1.88811,0.86,1622430000
407.91,2.38764,3.2967,-0.05,1622431800
408.11,0.03,-2.35764,-0.11,1622433600
407.52,-1.38858,-1.41858,0,1622435400
407.63,0.96906,2.35764,-0.25,1622437200
405.85,2.38764,1.41858,-0.2,1622439000
406.33,0.49953,-1.88811,0.03,1622440800
407.1,0.03,-0.46953,0.33,1622442600
407.13,-0.43953,-0.46953,-0.3,1622444400
407.32,-0.90906,-0.46953,0.36,1622446200
409.2,2.85717,3.76623,0.31,1622448000
408.4,2.85717,0,0,1622449800
407.06,1.44858,-1.41858,-0.68,1622451600
403.3,0.96906,-0.46953,-0.69,1622453400
406.91,2.85717,1.88811,0.83,1622455200
406.36,1.44858,-1.41858,-0.02,1622457000
408.87,0.03,-1.41858,0.36,1622458800
409.16,3.79623,3.76623,0.32,1622460600
408.02,1.91811,-1.88811,-0.42,1622462400
